ID,Plot,Species,Rep,Water,Nitrogen,LMA,Flower,Chl,Area,Seed,LeafN,Photo,WUE
G01RXX,1,AVBA,3,X,X,50.15772871,53,34.7,1120,7.33,0.8,11.26162791,4.312487107
G04LXX,4,AVBA,1,X,X,81.61530287,46,30,1165.5,6.4,0.71,10.70435716,10.04765823
G08LXX,8,AVBA,1,X,X,69.48529412,56,23.3,689,3.22,1,12.00411478,3.478751612
G08LXX,8,AVBA,4,X,X,88.36996337,59,33,1423.5,4.9,0.91,8.524548452,6.961898658
G12RXX,12,AVBA,1,X,X,80.8753568,53,34.9,1406,6.55,0.76,14.86264549,5.002666031
G12RXX,12,AVBA,3,X,X,62.25895317,56,26.2,676,4.99,1.1,6.372529668,4.662675889
G18RXX,18,AVBA,1,X,X,97.74011299,51,28.3,1254,7.18,0.9,26.66492278,10.98876788
G18RXX,18,AVBA,3,X,X,73.63861386,50,31.7,1207.5,5.22,0.76,12.18098554,5.081568198
G19LXX,19,AVBA,1,X,X,96.00840336,55,35.8,700,3.57,0.71,,
G19LXX,19,AVBA,2,X,X,64.64208243,67,31.7,446.5,1.97,1.31,,
G03LRX,3,AVBA,2,R,X,67.23700887,60,33.3,948.75,5.48,1.32,,
G03LRX,3,AVBA,4,R,X,99.49928469,74,30.2,1038.5,4.09,1.31,,
G05RRX,5,AVBA,2,R,X,69.94342291,66,31.7,1080,2.83,1.51,,
G05RRX,5,AVBA,3,R,X,72.6202159,71,33.8,1178,3.53,1.44,15.85363179,5.555678231
G05RRX,5,AVBA,4,R,X,73.27272727,58,34.6,598,3,1.59,,
G07LRX,7,AVBA,2,R,X,69.58942241,45,32.4,976.5,5.26,1.16,18.21146447,10.37992711
G07LRX,7,AVBA,4,R,X,72.1680877,53,36.9,1007.5,4.56,1.21,13.3832524,4.55571449
G11RRX,11,AVBA,1,R,X,93,67,40,1806.25,5.77,1.48,22.77797929,6.770043201
G11RRX,11,AVBA,5,R,X,62.34281932,50,37.9,1540,8.02,1.68,12.91087901,5.790407277
G14RRX,14,AVBA,3,R,X,85.65400844,58,39,1365,4.32,1.68,13.33728487,5.936279797
G14RRX,14,AVBA,4,R,X,88.66432337,59,38.1,1138.5,3.72,1.14,,
G15RRX,15,AVBA,1,R,X,58.34920635,59,40.4,732,5.45,1.86,,
G20LRX,20,AVBA,1,R,X,65,50,28.9,1462.5,6.3,1.03,12.74325889,8.690862903
G02LAX,2,AVBA,4,A,X,59.57446809,55,30.1,1038.5,1.74,1.82,9.968053069,7.634089056
G06RAX,6,AVBA,3,A,X,55.1645857,71,38.9,297.5,3.74,2.97,,
G09LAX,9,AVBA,2,A,X,72.92271935,63,29.7,958.75,3.77,1.26,14.0225808,6.226715143
G10LAX,10,AVBA,4,A,X,83.36856942,61,35.4,880,1.95,1.63,9.618879878,7.304212407
G13LAX,13,AVBA,2,A,X,74.53838678,65,30.7,575.75,3.85,1.33,5.289999834,4.733001346
G13LAX,13,AVBA,3,A,X,70.79207921,52,25.7,1558,,1.73,14.19921104,5.991212783
G17RAX,17,AVBA,3,A,X,61.2565445,109,30.1,688.5,2.07,0.92,16.03915953,4.244826979
G23LAX,23,AVBA,4,A,X,60.69148936,104,31.3,912,3.07,1.35,,
G24RAX,24,AVBA,2,A,X,88.19444444,107,33.3,944,1.98,1.74,5.269584397,4.385799814
G24RAX,24,AVBA,3,A,X,74.0562249,76,31.2,840,1.08,1.23,12.84575132,5.831763953
G04RXN,4,AVBA,2,X,N,79.3956044,60,35,729,4.68,1.52,,
G08RXN,8,AVBA,1,X,N,95.80645161,69,30.6,913.5,1.82,1.23,10.22057709,7.644687822
G12LXN,12,AVBA,3,X,N,66.31689402,67,29.6,1080,3.19,1.18,10.98424358,4.978898082
G12LXN,12,AVBA,4,X,N,41.99134199,104,29,360,0.84,3.4,,
G16LXN,16,AVBA,2,X,N,80.97768332,61,38.1,1184,3.43,1.3,9.489266915,6.22073925
G16LXN,16,AVBA,4,X,N,61.8336887,70,34,636,4.17,1.29,6.753104982,4.321535092
