ID,Plot,Species,Rep. ,Water,Nitrogen,growth_rate,RS,RLD,FRR,SRL,N_uptake
G13RAN,13,AVBA,4,A,N,15.34413333,0.653061224,131.5211429,0.823196488,13077.38636,0.0166023
G24LAN,24,AVBA,2,A,N,19.81958065,0.641851107,175.5448571,0.781224661,19260.40752,0.013424516
G06LAN,6,AVBA,1,A,N,18.61394516,0.660412758,164.8663714,0.811961306,16392.96307,0.015473226
G09RAN,9,AVBA,3,A,N,21.73055161,0.420103093,192.4706,0.84703341,13776.01431,0.028580903
G02LAX,2,AVBA,4,A,X,10.91777419,0.5,96.70028571,0.77457239,16672.46305,0.011728161
G24RAX,24,AVBA,2,A,X,14.20214839,0.537084399,125.7904571,0.797343019,20965.07619,0.010158839
G24RAX,24,AVBA,3,A,X,10.88367097,0.709342561,96.39822857,0.809598457,8229.117073,0.016094839
G09LAX,9,AVBA,2,A,X,10.46365484,0.41038526,92.67808571,0.80894975,13239.72653,0.012521355
G11LRN,11,AVBA,2,R,N,16.91548387,0.766478343,149.8228571,0.843692361,12884.02948,0.013010968
G03RRN,3,AVBA,1,R,N,8.088266667,0.521452145,69.328,0.799020392,15357.46835,0.007729433
G03RRN,3,AVBA,2,R,N,12.68457419,0.614250614,112.3490857,0.834666593,15728.872,0.010617968
G03RRN,3,AVBA,3,R,N,12.02823667,0.56501182,103.0991714,0.72114893,15098.20502,0.010812667
G11RRX,11,AVBA,1,R,X,14.01314194,0.392814371,124.1164,0.830287652,13244.12805,0.020033613
G14RRX,14,AVBA,4,R,X,9.948866667,0.436842105,85.276,0.848554944,17979.87952,0.0102102
G03LRX,3,AVBA,2,R,X,16.26804839,0.563988095,144.0884286,0.781409036,13306.31926,0.018918
G05RRX,5,AVBA,4,R,X,18.19709032,0.796116505,161.1742286,0.741975055,13758.77561,0.01596371
G12LXN,12,AVBA,4,X,N,18.43449,0.594462541,158.0099143,0.828864988,15151.63562,0.0186989
G16LXN,16,AVBA,4,X,N,12.29185806,0.613821138,108.8707429,0.773097639,12617.4702,0.012191742
G18LXN,18,AVBA,3,X,N,12.08761667,0.455390335,103.6081429,0.745067197,14801.16327,0.0139896
G18LXN,18,AVBA,4,X,N,16.04049231,0.952182952,178.7369143,0.738447985,13658.9345,0.009678923
G12RXX,12,AVBA,1,X,X,16.1525963,0.673913043,124.6057429,0.832588546,12789.44575,0.01436763
G19LXX,19,AVBA,1,X,X,20.10285333,0.675724638,172.3101714,0.826136124,16168.51475,0.019363333
G19LXX,19,AVBA,2,X,X,9.257596774,0.428282828,81.99585714,0.75441024,13537.05189,0.010582194
G08LXX,8,AVBA,4,X,X,13.94467407,0.537234043,107.5732,0.762686511,12425.94719,0.01445
G24LAN,24,BRMA,1,A,N,2.317061905,0.641509434,69.51185714,0.884730868,23852.10784,0.0041151
G24LAN,24,BRMA,2,A,N,2.732742857,0.475,81.98228571,0.826919753,21574.28571,0.007874533
G24LAN,24,BRMA,4,A,N,1.913733641,0.8125,59.32574286,0.865841906,26620.52564,0.002492129
G24LAN,24,BRMA,3,A,N,1.377853333,0.658536585,41.3356,0.879092114,13395.7963,0.0045424
G10LAX,10,BRMA,1,A,X,0.507728205,0.9,19.8014,0.963462901,38502.72222,0.000527128
G10LAX,10,BRMA,2,A,X,2.401171429,0.496376812,62.43045714,0.79123697,15949.38686,0.007735808
G10LAX,10,BRMA,4,A,X,2.216228571,0.565656566,84.21668571,0.807767989,17545.14286,0.005653421
G09LAX,9,BRMA,1,A,X,1.409252535,0.393700787,43.68682857,0.864839288,30580.78,0.002535097
G11LRN,11,BRMA,1,R,N,1.86513619,0.609022556,55.95408571,0.905913675,24177.69136,0.004158733
G15LRN,15,BRMA,2,R,N,3.136786175,0.466666667,97.24037143,0.893599748,28600.10924,0.006068452
G21RRN,21,BRMA,1,R,N,2.625093333,0.54954955,78.7528,0.826442815,22593.01639,0.0060888
G07RRN,7,BRMA,1,R,N,1.638071429,0.435406699,49.14214286,0.863156732,18900.82418,0.00521
G15RRX,15,BRMA,2,R,X,1.520893233,0.5,57.79394286,0.838454648,24972.69136,0.003197368
G03LRX,3,BRMA,1,R,X,1.556008571,0.511904762,46.68025714,0.835842501,18997.77907,0.003937
G07LRX,7,BRMA,1,R,X,2.970466667,0.621212121,89.114,0.844742369,19018.23171,0.006448533
G07LRX,7,BRMA,4,R,X,2.347770677,0.538709677,89.21528571,0.842535632,18697.81437,0.006163342
G01LXN,1,BRMA,2,X,N,0.952786466,0.663043478,36.20588571,0.834979475,20773.86885,0.002089658
G16LXN,16,BRMA,1,X,N,6.472051128,0.472986748,245.9379429,0.849381516,18551.35345,0.016883684
G18LXN,18,BRMA,1,X,N,1.100441379,0.697368421,31.9128,0.887067258,21074.49057,0.001850483
G22RXN,22,BRMA,1,X,N,1.597844538,0.391304348,54.32671429,0.831723935,26408.81944,0.003418353
G18RXX,18,BRMA,1,X,X,2.227066165,0.611353712,84.62851429,0.858492477,21157.12857,0.004476553
P3,0,BRMA,2,X,X,1.842259048,0.536231884,55.26777143,0.817649346,17426.77477,0.0052046
P5,0,BRMA,1,X,X,1.94293619,0.67721519,58.28808571,0.862053162,19066.19626,0.003657
P7,0,BRMA,1,X,X,1.225986466,0.301694915,46.58748571,0.79468306,18320.92135,0.004618105
